goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseSimdjson/citm-48          	  340129	    211763 ns/op	8156.31 MB/s	      72 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-48          	  338127	    210784 ns/op	8194.20 MB/s	      72 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-48          	  343510	    203298 ns/op	8495.93 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-48          	  339321	    216861 ns/op	7964.55 MB/s	     160 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-48          	  333541	    213615 ns/op	8085.60 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-48          	  332217	    211467 ns/op	8167.70 MB/s	     105 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-48          	  350004	    208279 ns/op	8292.73 MB/s	      71 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-48          	  334023	    203119 ns/op	8503.41 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-48          	  358522	    204415 ns/op	8449.51 MB/s	      71 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-48          	  375006	    203970 ns/op	8467.92 MB/s	      78 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-48       	  580641	    123041 ns/op	5132.54 MB/s	      67 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-48       	  730675	     97540 ns/op	6474.39 MB/s	      71 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-48       	  598796	    114825 ns/op	5499.80 MB/s	      67 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-48       	  626038	    113847 ns/op	5547.04 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-48       	  714177	     98531 ns/op	6409.31 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-48       	  578085	    122133 ns/op	5170.71 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-48       	  668575	    107278 ns/op	5886.73 MB/s	      66 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-48       	  559465	    123381 ns/op	5118.41 MB/s	      67 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-48       	  820994	     92348 ns/op	6838.39 MB/s	      68 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-48       	  557403	    129301 ns/op	4884.07 MB/s	      67 B/op	       3 allocs/op
PASS
ok  	github.com/koykov/versus/jsonvector	14647.301s
