goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
BenchmarkParseSimdjson/citm-8          	   45723	    809489 ns/op	2133.70 MB/s	     123 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   44821	    802124 ns/op	2153.29 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   43903	    820486 ns/op	2105.10 MB/s	     126 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   44610	    800499 ns/op	2157.66 MB/s	     125 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  118399	    284884 ns/op	2216.74 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  125636	    286041 ns/op	2207.77 MB/s	      78 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  125139	    285687 ns/op	2210.51 MB/s	      78 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  128326	    289800 ns/op	2179.14 MB/s	      78 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  128412	    288709 ns/op	2187.37 MB/s	      78 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  128274	    288183 ns/op	2191.36 MB/s	      78 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  127832	    291137 ns/op	2169.13 MB/s	      78 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  121753	    290749 ns/op	2172.02 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  122791	    285401 ns/op	2212.72 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  128374	    284748 ns/op	2217.80 MB/s	      64 B/op	       3 allocs/op
PASS
ok  	github.com/koykov/versus/jsonvector	7957.026s
