goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseUrlvector/big-8          	98116747	       365.3 ns/op	3084.96 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	99082183	       364.7 ns/op	3090.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	98780754	       363.6 ns/op	3099.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	99098730	       364.2 ns/op	3094.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	234105988	       155.5 ns/op	13451.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	252977730	       142.3 ns/op	14695.27 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	251676673	       143.0 ns/op	14627.18 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	250482325	       143.3 ns/op	14592.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	252756765	       142.2 ns/op	14701.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	252030350	       142.7 ns/op	14648.60 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	252629449	       143.1 ns/op	14607.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	252781578	       142.8 ns/op	14644.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	252027663	       143.1 ns/op	14616.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	252129879	       141.6 ns/op	14763.13 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/koykov/versus/urlvector	6667.390s
